Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C12, C13, C14",0805,4,47pF,C14857
C11,0805,1,27pF,C49326673
"C2, C3, C4, C5, C6, C7, C8, C9",0805,8,0.1uF,C28233
"CN1, CN10, CN11, CN12, CN13, CN14, CN15, CN16, CN2, CN3, CN4, CN5, CN6, CN7, CN8, CN9",CAP_CA0612_3P2X1P6_YAG,16,47pF,C22446551
"R1, R11, R12, R5, R6, R7",0805,6,10K,C237755
"R10, R2, R3, R8, R9",0805,5,100R,C17408
R4,0805,1,470,C17710
"RN1, RN11, RN13, RN15, RN3, RN4, RN8, RN9",SOIC-16W_5.3x10.2mm_P1.27mm,8,100R,C1358123
"RN10, RN12, RN14, RN16, RN17, RN2",RN_9SRT_1_27mm_handsolder,6,10K,C7193336
"RN5, RN6",RN_9SRT_1_27mm_handsolder,2,2.2K,C1731646
