Designator,Mid X,Mid Y,Rotation,Layer
C1,220.94,-38.1,0.0,top
C10,192.8075,-90.17,0.0,top
C11,192.8075,-92.71,180.0,top
C12,196.6175,-86.36,0.0,top
C13,196.6175,-115.57,0.0,top
C14,199.1575,-137.16,0.0,top
C2,30.0775,-39.37,0.0,bottom
C3,50.3975,-39.37,0.0,bottom
C4,70.7175,-39.37,0.0,bottom
C5,91.0375,-39.37,0.0,bottom
C6,111.3575,-39.37,0.0,bottom
C7,131.6775,-39.37,0.0,bottom
C8,151.9975,-39.37,0.0,bottom
C9,172.3175,-39.37,0.0,bottom
CN1,213.31425,-68.5116,0.0,top
CN10,213.31425,-128.3384,0.0,top
CN11,213.31425,-124.3916,180.0,bottom
CN12,213.31425,-130.8784,180.0,bottom
CN13,213.31425,-48.1916,180.0,bottom
CN14,213.31425,-54.6784,180.0,bottom
CN15,213.31425,-68.5116,180.0,bottom
CN16,213.31425,-74.9984,180.0,bottom
CN2,213.31425,-74.9984,0.0,top
CN3,213.31425,-104.0716,180.0,bottom
CN4,213.31425,-110.5584,180.0,bottom
CN5,213.31425,-48.1916,0.0,top
CN6,213.31425,-54.6784,0.0,top
CN7,213.31425,-101.5316,0.0,top
CN8,213.31425,-108.0184,0.0,top
CN9,213.31425,-121.8516,0.0,top
D1,209.55,-140.97,0.0,top
J1,36.83,-87.555,0.0,top
J10,220.98,-115.57,0.0,top
J11,201.93,-31.75,180.0,top
J2,57.15,-87.555,0.0,top
J3,77.47,-87.555,0.0,top
J4,97.79,-87.555,0.0,top
J5,118.11,-87.555,0.0,top
J6,138.43,-87.555,0.0,top
J7,158.75,-87.555,0.0,top
J8,179.07,-87.555,0.0,top
R1,29.845,-82.82,90.0,top
R10,194.04,-137.16,0.0,top
R11,186.325,-84.455,180.0,bottom
R12,187.325,-80.645,270.0,top
R2,187.69,-90.17,0.0,top
R3,187.69,-92.71,0.0,top
R4,217.17,-140.97,180.0,top
R5,187.325,-85.36,90.0,top
R6,187.325,-114.57,90.0,top
R7,190.5,-138.16,270.0,top
R8,191.5,-86.36,0.0,top
R9,191.5,-115.57,0.0,top
RN1,202.64,-71.755,270.0,top
RN10,191.77,-124.46,270.0,top
RN11,202.49,-51.435,270.0,top
RN12,191.77,-50.8,270.0,top
RN13,202.49,-51.435,90.0,bottom
RN14,191.77,-127.0,270.0,bottom
RN15,202.64,-71.755,90.0,bottom
RN16,191.77,-50.8,270.0,bottom
RN17,191.77,-71.12,270.0,bottom
RN2,191.77,-71.12,270.0,top
RN3,202.64,-107.315,90.0,bottom
RN4,202.64,-104.775,270.0,top
RN5,191.77,-106.68,270.0,bottom
RN6,191.77,-104.14,270.0,top
RN8,202.64,-125.095,270.0,top
RN9,202.64,-127.635,270.0,bottom
