Designator,Mid X,Mid Y,Rotation,Layer
C1,34.036,-150.916,90.0,top
C2,65.405,-144.74,90.0,top
C3,94.615,-90.13,270.0,top
C4,100.33,-144.82,90.0,top
C5,63.46,-135.255,0.0,top
C6,58.42,-106.64,270.0,top
C7,96.52,-129.5,90.0,top
C8,98.425,-105.369293,270.0,top
C9,34.818,-158.75,180.0,top
D1,52.07,-67.31,0.0,top
J1,90.17,-160.02,270.0,bottom
J2,145.415,-151.13,270.0,top
J3,130.83,-146.595,270.0,top
J4,77.47,-67.31,90.0,top
R1,48.26,-73.66,0.0,top
R2,71.12,-118.11,270.0,top
SW1,34.85,-70.83,0.0,top
U1,88.9,-88.9,180.0,top
U2,50.8,-143.51,270.0,top
U3,85.09,-143.51,270.0,top
U4,57.15,-93.98,90.0,top
U5,49.53,-128.27,270.0,top
U6,92.63,-105.09,180.0,top
U7,81.28,-128.27,270.0,top
