TOTAL,252,,,,,
,,,,,,
LVDS1,10,"8 + 2LED, Bank 0",,,,
LVDS2,10,"8 + 2LED, Bank 0",,,,
,,,,,,
SPI-ROM1,6,(Could be bank 0),,,,
SPI-ROM2,6,(Could be bank 0),,,,
,,,,,,
RAM0,31,8 Mbit x 8 + 3 ctrl,,,,
RAM1,31,8 Mbit x 8 + 3 ctrl,,,,
RAM2,31,8 Mbit x 8 + 3 ctrl,,,,
RAM3,31,8 Mbit x 8 + 3 ctrl,,,,
,,,,,,
Z80 A,16,,,,,
Z80 D,10,8 + 2 ctrl,,,,
Z80 ctrl,8,,,,,
Clocks,2,PCLKT2_x,,,,
,,,,,,
Shadow Ctrl,7,5 + 2 ctrl,,,,
Shadow Data,10,8 + 2 ctrl,,,,
,,,,,,
Open Collectors,3,"INT_N, BUSY_N, WAIT_N",,,,
,,,,,,
CardID,5,"4x cardio, 1x boot_en_n",,,,
Debug Bus,9,"8x data, 1x strobe",,,,
RISCV RS232,4,With cts/rts,,,,
JTAG,4,,,,,
PGRAM_N,1,(Switch + pull-up),,,,
DONE/INIT/JTAGEN,3,(Pull-ups + LEDs),,,,
,,,,,,
LEDS,4,,,,,
