Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C6, C77, C78, C79, C8, C80, C85",1206,10,10u,C7171
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C48, C49, C5, C54, C58, C59, C60_2, C60, C61, C62_2, C62, C63_2, C63, C64, C65, C66, C67, C68, C7, C70, C71, C72, C73, C74, C75, C76, C81, C82, C83, C84, C9",0402,66,100n,C1525
"C44, C45, C46, C47, C50, C51, C52, C53",0402,8,220nF,C16772
C55,0402,1,200n,C1525
"C56, C57",1206,2,1n 2kV,C9196
C69,0402,1,1uF,C52923
D10,LED_D3.0mm,1,DONE,
D11,LED_D3.0mm,1,JTAG ACT,
D12,LED_D3.0mm,1,RS232 ACT,
D7,LED_D3.0mm,1,INIT,
"D8, D9",D_SOD-323,2,1N5819,C191023
FB1,0805,1,600R,C1017
J1,PinHeader_1x01_P2.54mm_Vertical,1,2.5V,
J10,IDC-Header_2x03_P2.54mm_Horizontal,1,RS232 5V,
"J11, J12",HANRUN_HR911130A,2,RJ45_RB1-125B8G1A,C50933
J2,PinHeader_1x01_P2.54mm_Vertical,1,3.3V,
J3,PinSocket_2x40_P2.54mm_Horizontal_Edge,1,Zx50_EdgeConnector,
J4,PinHeader_1x01_P2.54mm_Vertical,1,TP_CLK,
J5,PinHeader_1x01_P2.54mm_Vertical,1,TP_MCLK,
"J6, J7",PinHeader_1x01_P2.54mm_Vertical,2,GND,
J8,IDC-Header_2x09_P2.54mm_Vertical,1,DEBUG,
J9,IDC-Header_2x06_P2.54mm_Horizontal,1,JTAG 5V,
Q1,SOT-23-3,1,2N7002,C8545
"R1, R2, R3, R68, R69, R70, R71, R72, R73, R76, R77",0805,11,10k,C17414
"R102, R107, R108, R113, R118, R119, R120, R121, R122, R123, R124, R125, R15, R16, R17, R18, R23, R28, R30, R32, R35, R40, R66, R74, R75, R84, R85, R86, R87",0402,29,10k,C25744
"R24, R25, R26, R27, R29, R31, R34, R37",0402,8,4k7,C25900
"R38, R39",0805,2,470R,C17710
"R4, R5",0603,2,33R,C23140
RN1,R_Array_SIP6,1,10K,	 4606X-AP1-103LF
SW1,SW_DIP_SPSTx05_Slide_9.78x14.88mm_W7.62mm_P2.54mm,1,SW_DIP_x05,208-5
SW2,SW_PUSH_6mm_H7.3mm,1,RESET,
U1,SOT-223-3_TabPin2,1,AMS1117-2.5,C347221
U10,VSSOP-8_2.3x2mm_P0.5mm,1,74LVC3G07,C131955
"U11, U21, U23, U24, U3, U4, U5, U6, U9",TSSOP-20_4.4x6.5mm_P0.65mm,9,74LVC245,C7848
U12,CABGA400_LAT,1,LCMXO3LF-6900C-5BG400C,
U13,TSSOP14_PW_TEX,1,TXU0204PWR,C4363888
U14,TSSOP14_PW_TEX,1,TXU0304PWR,C4364118
"U15, U16, U17, U18",TSOP-44_11P9X18P5_ISI,4,IS61WV10248EDBLL,C1349228
"U19, U20",SOIC127P600X88-8N,2,IS25LP080D-JNLE-TR,C521286
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U22,SOT-753,1,SN74LVC1G17DBVR,SN74LVC1G17DBVR
"U7, U8",SOT-753,2,74LVC1G17,C7836
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25 MHz,C669088
