Designator,Mid X,Mid Y,Rotation,Layer
C1,52.07,-91.010001,90.0,top
C10,68.58,-144.0,90.0,top
C11,63.12,-126.8,180.0,top
C12,79.756,-144.254,90.0,top
C13,93.98,-148.11,90.0,top
C14,99.06,-148.11,90.0,top
C15,105.664,-144.706,90.0,top
C16,120.444,-150.602,270.0,top
C17,124.373,-144.043,90.0,top
C18,99.6,-107.92,90.0,bottom
C19,220.77,-49.56,0.0,top
C2,38.735,-153.875001,270.0,top
C20,220.77,-51.53,0.0,top
C21,17.78,-103.6604,270.0,bottom
C22,98.960589,-111.039411,315.0,bottom
C23,98.860589,-113.260589,45.0,bottom
C24,95.12,-114.4,0.0,bottom
C25,223.64,-47.59,0.0,top
C26,223.64,-49.56,0.0,top
C27,223.64,-51.53,0.0,top
C28,100.72,-110.0,180.0,bottom
C29,97.139411,-110.860589,135.0,bottom
C3,38.53,-163.195,180.0,top
C30,96.48,-112.4,0.0,bottom
C31,95.12,-110.8,0.0,bottom
C32,95.12,-113.4,0.0,bottom
C33,100.68,-113.0,180.0,bottom
C34,100.68,-111.4,180.0,bottom
C35,96.5,-114.98,270.0,bottom
C36,61.1,-81.08,270.0,top
C37,134.112,-81.28,270.0,top
C38,62.72,-75.4,0.0,top
C39,133.12,-74.8,180.0,top
C4,47.47,-97.79,0.0,top
C40,229.38,-49.56,0.0,top
C41,229.38,-51.53,0.0,top
C42,85.4,-93.92,90.0,top
C43,90.6,-92.92,90.0,bottom
C44,87.4,-93.92,90.0,top
C45,88.4,-93.92,90.0,top
C46,92.6,-92.92,90.0,bottom
C47,93.6,-92.92,90.0,bottom
C48,98.35,-95.57,90.0,top
C49,106.1,-89.62,90.0,bottom
C5,44.605,-147.32,180.0,top
C50,101.6,-95.57,90.0,top
C51,100.5,-95.57,90.0,top
C52,102.55,-89.62,90.0,bottom
C53,103.75,-89.62,90.0,bottom
C54,205.49,-113.29,0.0,top
C55,205.49,-115.26,0.0,top
C56,122.925,-72.75,0.0,top
C57,73.525,-72.4,180.0,top
C58,74.08,-128.0,0.0,top
C59,73.62,-96.2,180.0,top
C6,38.53,-160.655,180.0,top
C60_2,74.0,-113.1,180.0,top
C60,213.92,-143.2,0.0,top
C61,73.93,-111.6,0.0,top
C62_2,122.03,-96.2,180.0,top
C62,229.12,-155.2,0.0,top
C63_2,229.12,-160.0,0.0,top
