Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C2, C3_2, C3, C6, C8",C_Disc_D5.0mm_W2.5mm_P5.00mm,10,0.1uF,
C9,CP_Radial_Tantal_D5.0mm_P2.50mm,1,10uF,
D1,LED_D5.0mm,1,TXB,
D2,LED_D5.0mm,1,TXA,
IC1,DIP-28_W15.24mm_Socket,1,Z80CTC,
IC2,DIP-40_W15.24mm_Socket,1,Z80DART,
J1,PinSocket_2x40_P2.54mm_Vertical_Oval,1,Zx50_EdgeConnector,
J2,DSUB-9_Receptical_A-DF_09_A_KG-T2S,1,DE9_Socket,
J3,DSUB-9_Receptical_A-DF_09_A_KG-T2S,1,DB9-USB-D5-F,
J4,PinHeader_1x05_P2.54mm_Horizontal,1,PortA,
J5,PinHeader_1x05_P2.54mm_Horizontal,1,PortB,
"R1, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,1K,
U1,DIP-16_W7.62mm_Socket,1,74AHCT138,
U4,DIP-16_W7.62mm_Socket,1,MAX232ACPE,
Y1,Oscillator_DIP-8,1,7.3728 MHz,
