Designator,Mid X,Mid Y,Rotation,Layer
C1,38.14,-172.72,180.0,top
C10,107.91,-132.08,0.0,top
C11,93.98,-130.81,270.0,top
C12,115.57,-132.08,0.0,top
C13,93.98,-123.15,270.0,top
C2,53.38,-159.385,180.0,top
C3_2,100.965,-168.275,270.0,top
C3,121.88,-159.385,0.0,top
C6,63.46,-158.75,0.0,top
C8,100.33,-132.08,0.0,top
C9,39.39,-177.76,180.0,top
D1,101.6,-105.41,180.0,top
D2,34.925,-105.41,180.0,top
IC1,113.03,-147.32,270.0,top
IC2,64.77,-147.32,90.0,top
J1,93.905,-179.07,270.0,bottom
J2,137.62,-111.125,0.0,top
J3,71.12,-111.125,0.0,top
J4,45.72,-106.68,90.0,top
J5,112.395,-106.68,90.0,top
R1,104.775,-112.395,0.0,top
R2,38.1,-113.665,0.0,top
U1,63.5,-167.64,90.0,top
U4,106.68,-124.46,90.0,top
Y1,110.49,-165.735,0.0,top
