Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7, C8",C_Disc_D5.0mm_W2.5mm_P5.00mm,8,0.1uF,
C9,CP_Radial_Tantal_D5.0mm_P2.50mm,1,10uF,
D1,LED_D5.0mm,1,PWR,
J1,PinHeader_2x40_P2.54mm_Horizontal_Edge,1,Zx50_EdgeConnector,
J2,PinSocket_2x02_P2.54mm_Vertical,1,FrontPanelConnect,
J3,PinSocket_2x05_P2.54mm_Horizontal,1,Clock Mezzanine,
J4,IDC-Header_2x05_P2.54mm_Horizontal_Edge,1,Front Panel,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,470,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,1,10k,
SW1,SW_PUSH_6mm_H7.3mm,1,RESET,
U1,SOT-23-5_HandSoldering,1,74AHC1G14,
"U2, U3, U5, U7",DIP-20_W7.62mm_Socket,4,SN74AHCT245N,SN74AHCT245N
U4,DIP-40_W15.24mm,1,Z84C00xxP,
U6,SOT-23-5_HandSoldering,1,MCP1316MT-46LE/OT,
